|x,y,z,id,height|
2762959.06,1174915.09,1607.4,97.0,19.96994628906259
2762934.43,1174339.57,1561.68,98.0,19.409980468750064
2762932.34,1174726.74,1590.8600000000001,99.0,33.36000000000013
2762385.47,1174093.71,1469.0,100.0,17.3900146484375
2762331.92,1174997.6,1455.88,101.0,28.88000000000011
2762844.64,1174734.4,1564.38,102.0,34.77001464843761
2762344.67,1174945.95,1441.46,103.0,15.699990234375036
2762680.68,1174536.3,1497.75,104.0,4.1099853515625
2762840.09,1174063.51,1558.78,105.0,29.460053710937473
2762555.86,1174199.59,1500.44,106.0,23.440000000000055
2762372.46,1174938.49,1462.16,107.0,31.119960937500082
2762532.84,1174840.57,1481.75,108.0,16.969970703125
2762473.97,1174776.13,1459.16,109.0,7.229946289062582
2762963.14,1174737.1,1608.55,110.0,35.029980468749955
2762054.23,1174953.89,1415.54,111.0,15.560019531249964
2762327.27,1174887.72,1439.01,112.0,10.020009765624991
2762577.88,1174781.03,1490.8700000000001,113.0,21.78003417968762
2762952.11,1174530.48,1569.26,114.0,22.81004882812499
2762899.38,1174985.31,1598.06,115.0,20.009951171874945
2762914.84,1174832.6,1602.83,116.0,33.48002441406243
2762490.23,1174717.46,1461.49,117.0,4.000009765625009
2762514.86,1174165.86,1490.42,118.0,19.779985351562573
2762620.21,1174722.43,1502.2,119.0,28.330004882812545
2762472.45,1174341.67,1500.91,120.0,29.899990234375082
2762828.97,1174987.65,1585.27,121.0,25.910014648437482
2762442.39,1174246.55,1490.81,122.0,26.970034179687445
2762622.22,1174751.65,1500.69,123.0,25.179990234375055
2762667.03,1174470.75,1502.0,124.0,6.4100341796875
2762355.98,1174412.58,1474.25,125.0,22.8299560546875
2762934.79,1174824.69,1601.23,126.0,24.189960937500018
2762722.51,1174042.93,1506.25,127.0,24.5999755859375
2762051.16,1174377.08,1444.17,128.0,27.690019531250073
2762331.15,1174574.71,1462.52,129.0,19.280009765624982
2762208.82,1174013.57,1452.68,130.0,21.539985351562564
2762329.91,1174601.55,1458.3500000000001,131.0,16.500024414062636
2762418.14,1174605.88,1459.74,132.0,5.250009765625009
2762657.29,1174359.78,1521.6200000000001,133.0,24.34998046875012
2762836.21,1174607.31,1538.42,134.0,21.739946289062573
2762674.02,1174527.55,1500.26,135.0,7.070058593749991
2762898.19,1174440.15,1541.16,136.0,8.970058593750082
2762934.5,1174353.99,1559.52,137.0,17.170024414062482
2762893.34,1174830.73,1593.43,138.0,27.399970703125064
2762545.12,1174159.87,1494.3500000000001,139.0,19.919946289062636
2762814.93,1174647.15,1531.79,140.0,22.720053710937464
2762849.39,1174926.33,1570.97,141.0,18.500029296875027
2762775.73,1174954.25,1555.04,142.0,24.950034179687464
2762738.29,1174652.31,1521.44,143.0,27.509946289062555
2762244.13,1174686.05,1450.58,144.0,21.179975585937427
2762683.93,1174838.48,1503.26,145.0,6.820058593749991
2762886.28,1174379.62,1557.27,146.0,23.810039062499982
2762117.25,1174539.55,1440.15,147.0,21.48996582031259
2762652.16,1174190.7,1506.47,148.0,15.760039062500027
